prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
L15_1-k141_22343,0,0,0,0,238,58,160,20,21,0,12,9,O21_1,k141_22343,L15_1,L15_1.bin.8,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis,yes,yes
L15_1-k141_27557,0,0,0,0,216,58,151,7,43,0,21,22,NA,k141_27557,L15_1,L15_1.bin.11,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,no
L15_1-k141_72572,0,0,0,0,230,58,156,16,29,0,16,13,NA,k141_72572,L15_1,L15_1.bin.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,o__Clostridiales (UID1342),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,yes,no
L15_1-k141_77922,1,0,1,0,248,58,162,28,10,0,9,1,"M10_2,O21_1",NA,NA,NA,NA,NA,NA,no,yes
L23_1-k141_1181,0,0,0,0,247,58,163,26,12,0,9,3,NA,NA,NA,NA,NA,NA,NA,no,no
M10_2-k141_33095,0,0,0,0,244,58,160,26,15,0,12,3,NA,k141_33095,M10_2,M10_2.bin.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens,yes,yes
M10_2-k141_72151,0,0,0,0,237,57,156,24,22,1,16,5,NA,k141_72151,M10_2,M10_2.bin.3,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,p__Actinobacteria (UID2112),d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,yes,no
M10_2-k141_7803,0,0,0,0,258,58,171,29,1,0,1,0,NA,k141_7803,M10_2,M10_2.bin.3,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,p__Actinobacteria (UID2112),d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,yes,no
M11_1-k141_2839,5,1,4,0,240,57,154,29,14,0,14,0,"C19_1,D15_1,F23_1,J23_1,L23_1,O17_1,O21_1,O23_1",k141_2839,M11_1,M11_1.bin.2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B massiliensis,o__Bacteroidales (UID2657),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B massiliensis,yes,yes
M11_2-k141_42,0,0,0,0,237,58,156,23,22,0,16,6,"M15_2,M17_2,M19_2,M21_2,M5_2",NA,NA,NA,NA,NA,NA,no,yes
